time	unit	hypothesis	change	evidence	verdict	decision
2026-08-26T00:00:00+02:00	scope	The audit's concrete P0 and P1 defects can be fixed without choosing product policy.	Included authorization, destructive sync, deletion integrity, bounded own-check reads, UI and REST policy parity, and mapping uniqueness. Excluded retention duration, credential encryption design, and other decision-only P2 work.	Audit findings and repository constraints.	accepted	Proceed with reversible source changes only.
2026-08-26T00:00:01+02:00	baseline	The current tree is a sound comparison point.	Ran the existing TypeScript, lint, test, and sales checks before edits.	TypeScript passed. Lint passed with two existing image warnings. Sales check passed. Tests passed 61 of 62 with one stale Danish copy expectation in convex/transfers.test.ts:164.	accepted	Treat the one copy assertion and two image warnings as known baseline noise.
2026-08-26T00:00:02+02:00	definition-of-done	The fixes need explicit security and integrity predicates.	Defined twelve predicates covering role assignment, location scope, kiosk access, membership cleanup, sync safety, legacy ID migration, deletion references, product history, bounded own-check reads, mutation parity, provider ID uniqueness, and unchanged verification baseline.	Repository audit and code inspection.	accepted	Review every diff against these predicates before whole-tree checks.
2026-08-26T00:00:03+02:00	one-way-door-check	The selected fixes do not require an irreversible architecture choice.	Skipped a design arena because the changes tighten existing permission and integrity boundaries and remain reversible in source control.	No live migration or deployment is authorized in this task.	accepted	Use existing patterns and prefer guards over destructive migration.
2026-08-26T19:04:00+02:00	authorization	Role and location administration can be tightened at the shared server boundary.	Required roles.manage for every role-selecting Better Auth and kiosk path, bounded restricted self-scope changes, required all-location access for changes to other users and kiosk locations, enforced ownChecks.overview in kiosk edit and approval paths, and added membership access cleanup.	Focused access, auth, and own-check tests passed. TypeScript passed.	accepted	Keep client hiding as usability only. Convex and Better Auth hooks remain the security boundary.
2026-08-26T19:04:01+02:00	provider-sync	Provider snapshots must fail closed before destructive cleanup.	Made Workfeed parsing strict, stopped treating unseen employees and roles as deletions, rejected empty cached snapshots and unresolved shift mappings, and required a matching second fetch before accepting a smaller shift snapshot. Kept OnlinePOS legacy-ID probing active until the 90-day backfill is proven complete.	Workfeed parser safety checks passed. Focused OnlinePOS sync tests passed. Sales rollup check passed.	accepted	Only explicit Workfeed deletion markers retire people and roles. Suspicious shift snapshots stop the run.
2026-08-26T19:04:02+02:00	deletion-and-writes	UI and REST writes need one policy owner and location deletion must not leave active references.	Extracted shared location and master-data write functions with authorization, validation, side effects, and one audit event. Added one location deletion helper that blocks history, integrations, kiosk accounts, active own-check and API-key configuration, and in-flight Workfeed state, then scrubs bounded access and opening-hour rows.	Central diff review, TypeScript, lint, and diff checks passed. A fail-open kiosk member cap found during review was changed to fail closed.	accepted	Refuse hard deletion when history or active configuration exists. Do not invent an archive model in this patch.
2026-08-26T19:04:03+02:00	history-and-queries	Historical records should survive catalog cleanup and range reads should not fail on lifetime volume.	Blocked product hard deletion when Count lines exist, retained those archived products without an expiry timestamp, scrubbed Count ordering arrays, range-loaded own-check versions plus one predecessor per relevant template, and rejected duplicate OnlinePOS mapping ownership.	Focused own-check tests passed. TypeScript caught no schema or index contract errors. Review excluded timestamp-free retained products from the expiry scan to prevent a scheduler loop.	accepted	Preserve Count history and fail closed on existing mapping ambiguity.
2026-08-26T19:04:04+02:00	verification	The changed tree should be no worse than the recorded baseline.	Ran TypeScript, focused tests, Workfeed parser checks, lint, the full test suite, the sales rollup check, and git diff validation after final edits.	TypeScript passed. Focused tests passed 38 of 38. Workfeed parser checks passed. Sales check passed. Lint had the same two image warnings. Full tests passed 61 of 62 with the same stale transfer copy assertion at convex/transfers.test.ts:164. git diff --check passed.	accepted	Treat the unchanged assertion and warnings as baseline noise, not regressions from this patch.
2026-08-26T19:04:05+02:00	residual-risk	Some remediation depends on production data or an external policy guarantee.	Did not rewrite live OnlinePOS rows, pick an owner for existing duplicate mappings, encode a sales correction window, deploy new indexes, or change P2 retention and credential policy.	The official OnlinePOS specification documents range exports but no historical correction or immutability guarantee. This task had no production data or deployment access.	deferred	Audit live legacy and scoped sales duplicates, resolve existing duplicate mapping ownership, and choose a reconciliation window before data repair or deployment.
